"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","FullResourcesCount","DevResourcesCount","QaResourcesCount","PdnResourcesCount","FullAccountsCount","DevAccountsCount","QaAccountsCount","PdnAccountsCount","RedSecurityChecksCount","RedSecurityResourcesCount","YellowSecurityChecksCount","YellowSecurityResourcesCount","RedFaultToleranceChecksCount","RedFaultToleranceResourcesCount","YellowFaultToleranceChecksCount","YellowFaultToleranceResourcesCount","RedPerformanceChecksCount","RedPerformanceResourcesCount","YellowPerformanceChecksCount","YellowPerformanceResourcesCount","RedCostOptimizingChecksCount","RedCostOptimizingResourcesCount","YellowCostOptimizingChecksCount","YellowCostOptimizingResourcesCount","ppn_tm"
"609","1","1","20231012","app00609","701","352","167","182","4","2","1","1","2","3","5","12","0","0","2","5","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"613","1","1","20231012","app00613","139","90","49","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"610","1","1","20231012","app00610","193","60","41","92","5","1","1","3","1","1","5","11","1","1","1","2","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"614","1","1","20231012","app00614","79","29","23","27","3","1","1","1","1","1","4","11","0","0","1","1","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"612","1","1","20231012","app00612","357","176","107","74","4","1","1","2","0","0","2","2","1","1","3","9","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"616","1","1","20231012","app00616","2","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"611","1","1","20231012","app00611","243","145","94","4","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"615","1","1","20231012","app00615","5","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"586","1","1","20231012","app00586","2518","968","711","839","173","66","48","59","1","1","9","25","0","0","2","6","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"587","1","1","20231012","app00587","139","57","40","42","4","2","1","1","1","1","7","14","0","0","2","4","0","0","2","2","0","0","0","0","2023-10-12 11:48:46.008"
"589","1","1","20231012","app00589","224","95","51","78","6","2","1","3","1","1","3","9","0","0","1","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"590","1","1","20231012","app00590","187","0","0","187","3","0","0","3","1","2","4","14","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"588","1","1","20231012","app00588","132","33","66","33","3","1","1","1","2","2","4","7","0","0","1","2","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"552","1","1","20231012","app00552","6","6","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"555","1","1","20231012","app00555","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"551","1","1","20231012","app00551","302","145","77","80","3","1","1","1","0","0","4","11","0","0","2","7","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"553","1","1","20231012","app00553","86","36","25","25","4","2","1","1","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"554","1","1","20231012","app00554","8","8","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"620","1","1","20231012","app00620","208","85","49","74","3","1","1","1","0","0","3","5","0","0","2","6","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"618","1","1","20231012","app00618","195","59","47","89","3","1","1","1","1","1","4","6","0","0","1","4","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"617","1","1","20231012","app00617","1038","494","36","508","50","16","16","18","5","24","12","58","1","1","4","27","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"623","1","1","20231012","app00623","27","9","9","9","3","1","1","1","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"622","1","1","20231012","app00622","66","21","21","24","3","1","1","1","0","0","1","3","1","2","2","4","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"619","1","1","20231012","app00619","131","48","31","52","5","2","1","2","0","0","3","5","0","0","3","3","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"621","1","1","20231012","app00621","204","78","52","74","3","1","1","1","0","0","3","5","0","0","2","6","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"624","1","1","20231012","app00624","61","25","18","18","3","1","1","1","2","2","5","5","0","0","0","0","0","0","1","1","0","0","0","0","2023-10-12 11:48:46.008"
"626","1","1","20231012","app00626","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"625","1","1","20231012","app00625","28","24","1","3","4","2","1","1","1","1","2","2","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"627","1","1","20231012","app00627","4","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"191","1","1","20231012","app00191","148","55","33","60","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"188","1","1","20231012","app00188","14","7","5","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"187","1","1","20231012","app00187","121","28","25","68","3","1","1","1","1","1","3","3","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"189","1","1","20231012","app00189","31","31","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
"192","1","1","20231012","app00192","58","2","0","56","2","1","0","1","0","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","2023-10-12 11:48:46.008"
