"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","fullresourcescount","devresourcescount","qaresourcescount","pdnresourcescount","fullaccountscount","devaccountscount","qaaccountscount","pdnaccountscount","redsecuritycheckscount","redsecurityresourcescount","yellowsecuritycheckscount","yellowsecurityresourcescount","redfaulttolerancecheckscount","redfaulttoleranceresourcescount","yellowfaulttolerancecheckscount","yellowfaulttoleranceresourcescount","redperformancecheckscount","redperformanceresourcescount","yellowperformancecheckscount","yellowperformanceresourcescount","redcostoptimizingcheckscount","redcostoptimizingresourcescount","yellowcostoptimizingcheckscount","yellowcostoptimizingresourcescount","ppn_tm"
"710","1","1","20231007","app00710","2","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"709","1","1","20231007","app00709","64","64","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"707","1","1","20231007","app00707","488","213","153","122","6","2","2","2","2","7","1","7","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"708","1","1","20231007","app00708","658","268","188","202","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"711","1","1","20231007","app00711","83","21","55","7","5","3","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"713","1","1","20231007","app00713","5","3","1","1","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"712","1","1","20231007","app00712","7","0","0","7","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"21","1","1","20231007","app00021","728","294","264","170","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"19","1","1","20231007","app00019","228","87","68","73","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"23","1","1","20231007","app00023","59","47","12","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"25","1","1","20231007","app00025","6","2","2","2","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"22","1","1","20231007","app00022","717","217","180","320","6","2","2","2","2","7","1","4","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"20","1","1","20231007","app00020","49","16","16","17","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"24","1","1","20231007","app00024","21","20","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"13","1","1","20231007","app00013","37","7","7","23","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"12","1","1","20231007","app00012","226","67","71","88","5","1","1","3","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"11","1","1","20231007","app00011","787","257","256","274","6","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"9","1","1","20231007","app00009","327","134","86","107","7","2","2","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"16","1","1","20231007","app00016","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"15","1","1","20231007","app00015","265","53","62","150","3","1","1","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"18","1","1","20231007","app00018","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"10","1","1","20231007","app00010","152","66","35","51","5","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"14","1","1","20231007","app00014","138","59","51","28","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"17","1","1","20231007","app00017","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"820","1","1","20231007","app00820","620","225","172","223","175","69","48","58","1","1","1","20","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"825","1","1","20231007","app00825","69","27","38","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"824","1","1","20231007","app00824","89","62","27","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"823","1","1","20231007","app00823","62","18","18","26","5","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
